ticker,SWIndustry1,SWIndustry2,SWIndustry3
002500.SZ,801790.SI,801193.SI,851931.SI
002501.SZ,801050.SI,801055.SI,850551.SI
002502.SZ,801760.SI,801752.SI,852222.SI
002503.SZ,801130.SI,801132.SI,851324.SI
002504.SZ,801720.SI,801722.SI,857221.SI
002505.SZ,801200.SI,801202.SI,852021.SI
002506.SZ,801730.SI,801733.SI,857333.SI
002507.SZ,801120.SI,801124.SI,851244.SI
002508.SZ,801110.SI,801111.SI,851114.SI
002509.SZ,801890.SI,801074.SI,850728.SI
002510.SZ,801880.SI,801093.SI,850921.SI
002511.SZ,801140.SI,801143.SI,851411.SI
002512.SZ,801750.SI,801101.SI,851021.SI
002513.SZ,801030.SI,801034.SI,850333.SI
002514.SZ,801890.SI,801072.SI,850712.SI
002515.SZ,801120.SI,801124.SI,851241.SI
002516.SZ,801880.SI,801093.SI,850921.SI
002517.SZ,801760.SI,801752.SI,852222.SI
002518.SZ,801730.SI,801733.SI,857335.SI
002519.SZ,801110.SI,801112.SI,851122.SI
002520.SZ,801890.SI,801072.SI,850711.SI
002521.SZ,801140.SI,801143.SI,851411.SI
002522.SZ,801140.SI,801141.SI,851421.SI
002523.SZ,801890.SI,801074.SI,850724.SI
002524.SZ,801150.SI,801156.SI,851561.SI
002526.SZ,801890.SI,801074.SI,850725.SI
002527.SZ,801730.SI,801732.SI,857322.SI
002528.SZ,801750.SI,801101.SI,851021.SI
002529.SZ,801890.SI,801074.SI,850727.SI
002530.SZ,801750.SI,801222.SI,852226.SI
002531.SZ,801730.SI,801733.SI,857332.SI
002532.SZ,801890.SI,801072.SI,850716.SI
002533.SZ,801730.SI,801734.SI,857344.SI
002534.SZ,801730.SI,801733.SI,857336.SI
002535.SZ,801890.SI,801074.SI,850725.SI
002536.SZ,801880.SI,801093.SI,850921.SI
002537.SZ,801750.SI,801222.SI,852226.SI
002538.SZ,801030.SI,801034.SI,850381.SI
002539.SZ,801030.SI,801034.SI,850381.SI
002540.SZ,801050.SI,801055.SI,850551.SI
002541.SZ,801720.SI,801724.SI,857241.SI
002542.SZ,801720.SI,801724.SI,857244.SI
002543.SZ,801110.SI,801111.SI,851114.SI
002544.SZ,801770.SI,801102.SI,851014.SI
002545.SZ,801030.SI,801034.SI,850336.SI
002546.SZ,801730.SI,801732.SI,857323.SI
002547.SZ,801080.SI,801085.SI,850852.SI
002548.SZ,801010.SI,801014.SI,850141.SI
002549.SZ,801030.SI,801034.SI,850339.SI
002550.SZ,801150.SI,801151.SI,851512.SI
002551.SZ,801150.SI,801153.SI,851551.SI
002552.SZ,801890.SI,801072.SI,850712.SI
002553.SZ,801880.SI,801093.SI,850921.SI
002554.SZ,801020.SI,801024.SI,850241.SI
002555.SZ,801760.SI,801752.SI,852221.SI
002556.SZ,801030.SI,801034.SI,850331.SI
002557.SZ,801120.SI,801124.SI,851244.SI
002558.SZ,801760.SI,801752.SI,852222.SI
002559.SZ,801890.SI,801072.SI,850711.SI
002560.SZ,801730.SI,801734.SI,857344.SI
002561.SZ,801200.SI,801203.SI,852031.SI
002562.SZ,801030.SI,801034.SI,850339.SI
002563.SZ,801130.SI,801132.SI,851324.SI
002564.SZ,801890.SI,801074.SI,850725.SI
